Gene Symbol,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9
Iqcc,4.79785E-06,4.30462E-06,4.43398E-06,4.74666E-06,5.15218E-06,3.00082E-06,2.06518E-06,2.63637E-06,2.89017E-06
Iqcd,9.59022E-15,9.71639E-10,2.37905E-08,1.34289E-07,1.50168E-07,6.26605E-08,1.82838E-08,1.52707E-09,1.84695E-11
Iqce,7.23584E-06,4.08142E-06,3.74373E-06,3.00934E-06,2.36702E-06,2.08167E-06,2.50283E-06,2.46017E-06,2.60059E-06
Iqcf1,0,0,0,0,0,0,0,0,0
Iqcf3,0,0,0,0,0,0,0,0,0
Iqcf4,0,0,0,0,0,0,0,0,0
Iqcf5,0,0,0,0,0,0,0,0,0
Iqcf6,0,0,0,0,0,0,0,0,0
Iqcg,2.00385E-08,3.63072E-07,3.36421E-07,3.2046E-07,2.88849E-07,3.15545E-07,1.31515E-07,2.87341E-08,9.72728E-11
Iqch,4.25644E-09,4.97046E-08,9.40578E-08,3.53374E-08,3.69452E-08,3.99839E-07,1.32966E-07,1.80167E-08,6.6952E-08
Iqck,0,0,0,0,0,0,0,0,0
Iqgap1,3.24904E-06,8.15512E-06,6.56321E-06,4.93602E-06,6.12849E-06,7.96003E-06,8.86931E-06,8.58992E-06,7.62377E-06
Iqgap2,0.000635681,0.000472344,0.000459456,0.000405787,0.000372495,0.000364001,0.000350701,0.000332808,0.000332473
Iqgap3,2.30289E-08,2.43154E-07,9.8139E-07,1.13331E-06,1.38318E-06,3.92358E-06,2.57829E-07,1.14448E-09,1.08482E-08
Iqsec1,1.92739E-05,2.17602E-05,1.54907E-05,1.55978E-05,1.48472E-05,1.65065E-05,1.52484E-05,1.99929E-05,1.69766E-05
Iqsec2,1.16845E-05,1.55274E-05,1.67313E-05,1.30414E-05,1.16917E-05,1.05622E-05,1.05725E-05,1.49282E-05,1.44354E-05
Iqsec3;mKIAA1110,0,0,0,0,0,0,0,0,0
Iqub,0,0,0,0,0,0,0,0,0
Irak-2;Irak2,2.41177E-05,3.40573E-05,2.75961E-05,2.72688E-05,2.69606E-05,2.38988E-05,2.26873E-05,2.5411E-05,2.43849E-05
Irak-M;Irak3,8.05141E-09,3.65445E-07,5.88954E-07,5.72402E-07,6.24453E-07,4.57021E-07,3.21777E-07,3.0092E-07,5.60588E-07
Irak1bp1,3.67489E-06,1.47691E-06,1.43432E-06,1.41408E-06,1.32691E-06,7.67406E-07,1.28322E-06,2.29462E-06,1.96168E-06
Irak4,3.97608E-06,4.585E-06,6.31406E-06,6.91236E-06,7.24207E-06,6.26956E-06,5.19018E-06,4.87692E-06,4.66663E-06
